event_id,event_type,city,venue_capacity,is_indoor,date,weekday,is_weekend,holiday,start_time_hour,duration_hours,ticket_price,promotion_days,promo_channels_count,organizer_reputation,lead_time_days,competing_events_same_day,weather_temp_c,weather_is_rain,weather_rain_mm,historical_avg_attendance,promotion_budget,attendance
EVT0036,sports,Hyderabad,500,0,2024-11-27,Wednesday,0,0,9,1.5,857.0,16,2,5,72,1,24.8,0,2.1,122,20000.0,500
EVT0037,sports,Mumbai,150,0,2025-01-24,Friday,0,0,20,3.0,741.0,25,2,1,23,1,24.9,0,0.0,90,5000.0,150
EVT0038,festival,Mumbai,500,0,2024-10-24,Thursday,0,0,10,3.0,286.0,5,3,1,26,4,26.8,0,1.0,174,2000.0,500
EVT0039,concert,Bengaluru,2000,1,2025-11-19,Wednesday,0,0,11,1.5,418.0,10,0,1,46,0,19.5,0,4.1,702,2000.0,2000
EVT0040,sports,Mumbai,300,1,2025-12-08,Monday,0,0,20,2.0,439.0,22,1,3,82,4,16.7,0,1.5,227,5000.0,300
EVT0041,sports,Mumbai,800,0,2025-08-12,Tuesday,0,0,12,4.0,281.0,23,2,1,73,1,24.2,0,1.4,290,5000.0,800
EVT0042,festival,Pune,500,1,2024-04-02,Tuesday,0,0,12,2.0,24.0,1,4,1,47,0,22.1,0,2.2,183,2000.0,500
EVT0043,seminar,Bengaluru,500,1,2024-05-24,Friday,0,1,9,2.0,96.0,23,2,5,31,2,17.9,0,0.0,309,2000.0,500
EVT0044,festival,Indore,150,1,2024-06-13,Thursday,0,0,13,4.0,44.0,0,4,1,15,0,19.0,1,9.6,37,0.0,150
EVT0045,seminar,Bengaluru,2000,1,2025-07-17,Thursday,0,0,12,4.0,108.0,13,4,4,25,2,23.3,1,7.9,932,20000.0,2000
EVT0046,Stand-up,Mumbai,150,1,2024-10-03,Thursday,0,1,18,3.0,544.0,21,1,4,17,4,29.4,1,6.6,35,2000.0,150
EVT0047,concert,Delhi,800,0,2025-04-01,Tuesday,0,1,14,3.0,700.0,26,2,3,14,0,23.0,0,2.0,366,5000.0,800
EVT0048,seminar,Delhi,800,1,2025-02-07,Friday,0,0,11,2.0,227.0,20,2,4,51,3,19.0,0,1.2,295,5000.0,800
EVT0049,concert,Indore,800,1,2024-12-03,Tuesday,0,0,15,4.0,1403.0,5,3,1,15,1,17.4,0,0.0,323,10000.0,760
EVT0050,concert,Delhi,200,0,2025-08-20,Wednesday,0,0,19,3.0,1217.0,23,2,1,81,4,24.7,0,0.6,132,2000.0,0
EVT0051,Stand-up,Mumbai,800,1,2024-05-17,Friday,0,0,16,2.0,165.0,5,1,2,84,0,28.3,0,0.0,399,2000.0,692
EVT0052,seminar,Indore,200,1,2025-08-24,Sunday,1,0,15,2.0,287.0,7,0,1,48,2,26.3,1,0.1,79,5000.0,200
EVT0053,sports,Bengaluru,3000,0,2025-10-25,Saturday,1,0,16,1.5,876.0,9,1,3,9,4,20.7,0,0.0,1217,0.0,1875
EVT0054,festival,Indore,500,1,2025-07-20,Sunday,1,0,10,3.0,358.0,6,3,5,69,0,21.9,1,2.8,143,0.0,500
EVT0055,Stand-up,Bengaluru,300,0,2024-11-20,Wednesday,0,0,15,2.0,543.0,7,1,1,49,1,20.7,0,6.1,112,20000.0,300
EVT0056,Stand-up,Indore,3000,1,2024-05-04,Saturday,1,0,10,2.0,158.0,6,0,2,17,4,27.8,0,2.0,1740,0.0,2526
EVT0057,concert,Mumbai,500,0,2024-11-27,Wednesday,0,0,19,4.0,1273.0,10,2,1,16,3,32.0,0,1.7,321,2000.0,0
EVT0058,Stand-up,Bengaluru,150,1,2025-10-01,Wednesday,0,0,14,1.5,560.0,4,3,4,42,2,20.0,0,3.8,50,2000.0,150
EVT0059,concert,Mumbai,1200,0,2025-07-10,Thursday,0,0,16,2.0,984.0,26,3,4,6,1,25.1,1,10.4,802,20000.0,1200
EVT0060,Stand-up,Hyderabad,500,0,2025-02-20,Thursday,0,0,11,2.0,145.0,12,2,3,59,3,26.7,0,2.8,228,0.0,495
EVT0061,seminar,Delhi,200,1,2025-12-24,Wednesday,0,0,20,1.5,61.0,8,1,4,26,1,24.5,0,0.0,14,20000.0,200
EVT0062,concert,Delhi,150,0,2024-09-27,Friday,0,0,16,3.0,1338.0,18,1,3,37,4,21.2,0,2.6,62,20000.0,150
EVT0063,seminar,Indore,1200,0,2025-12-25,Thursday,0,0,21,3.0,193.0,14,3,3,69,0,23.6,0,1.8,452,2000.0,1200
EVT0064,festival,Bengaluru,1200,1,2025-07-05,Saturday,1,1,10,1.5,398.0,23,3,1,76,3,23.3,1,10.0,985,2000.0,1200
EVT0065,festival,Mumbai,2000,1,2024-12-04,Wednesday,0,0,11,1.5,220.0,24,2,1,60,3,22.0,0,1.0,603,2000.0,1931
EVT0066,seminar,Pune,500,1,2025-02-27,Thursday,0,0,11,3.0,246.0,10,1,4,7,3,29.2,0,5.0,179,10000.0,500
EVT0067,festival,Bengaluru,500,1,2024-07-24,Wednesday,0,0,12,1.5,14.0,0,0,3,8,1,25.9,0,0.2,181,10000.0,500
EVT0068,festival,Mumbai,1200,1,2025-06-23,Monday,0,0,16,3.0,147.0,15,2,4,25,1,20.0,1,6.0,604,5000.0,1200
EVT0069,seminar,Delhi,200,0,2024-01-23,Tuesday,0,0,21,2.0,261.0,11,0,5,59,4,17.3,0,0.0,72,20000.0,200
EVT0070,concert,Pune,150,1,2025-05-23,Friday,0,0,21,2.0,1308.0,7,1,3,55,3,24.0,0,1.6,69,10000.0,150
EVT0071,concert,Mumbai,2000,1,2025-11-02,Sunday,1,1,19,1.5,1428.0,26,0,3,59,4,26.0,0,6.4,431,5000.0,2000
EVT0072,seminar,Hyderabad,200,1,2024-05-06,Monday,0,0,17,2.0,79.0,10,1,1,77,1,30.5,0,0.0,58,2000.0,99
EVT0073,seminar,Delhi,1200,0,2024-06-17,Monday,0,0,10,2.0,97.0,29,2,1,74,0,25.7,0,2.2,381,2000.0,994
EVT0074,concert,Mumbai,800,1,2024-04-27,Saturday,1,0,15,2.0,1047.0,5,4,1,14,1,32.7,0,3.6,328,10000.0,800
EVT0075,festival,Pune,500,0,2024-10-09,Wednesday,0,0,12,2.0,38.0,9,4,2,60,1,22.1,0,0.8,259,2000.0,500
EVT0076,sports,Mumbai,800,0,2024-07-23,Tuesday,0,0,21,4.0,203.0,11,0,5,7,4,24.6,0,1.6,293,5000.0,800
EVT0077,festival,Bengaluru,300,0,2024-03-13,Wednesday,0,1,20,2.0,309.0,16,0,2,79,4,16.5,0,3.0,49,0.0,276
EVT0078,seminar,Hyderabad,1200,1,2025-12-24,Wednesday,0,0,15,2.0,111.0,29,3,4,44,3,20.6,1,8.4,358,2000.0,1200
EVT0079,Stand-up,Pune,800,1,2025-01-01,Wednesday,0,0,16,3.0,330.0,11,3,4,17,0,24.2,0,0.1,409,0.0,729
EVT0080,seminar,Mumbai,150,0,2025-03-11,Tuesday,0,0,16,3.0,11.0,19,1,3,59,4,22.9,0,7.4,67,2000.0,150
EVT0081,Stand-up,Mumbai,200,0,2025-05-02,Friday,0,0,12,3.0,383.0,4,3,3,8,4,26.0,0,3.2,28,20000.0,200
EVT0082,seminar,Mumbai,1200,0,2024-03-27,Wednesday,0,0,16,4.0,238.0,25,1,5,75,3,27.2,0,1.4,745,0.0,1200
EVT0083,concert,Indore,150,1,2024-11-11,Monday,0,0,18,3.0,438.0,13,0,5,9,3,24.8,0,6.1,73,5000.0,150
EVT0084,festival,Hyderabad,150,1,2025-01-07,Tuesday,0,1,10,2.0,81.0,27,1,3,19,1,21.3,0,0.0,88,5000.0,150
EVT0085,seminar,Indore,1200,1,2024-05-12,Sunday,1,0,10,1.5,130.0,9,0,4,50,3,30.7,0,2.7,431,5000.0,1200
EVT0086,seminar,Mumbai,3000,1,2024-07-15,Monday,0,0,10,2.0,68.0,12,4,1,45,4,26.4,1,13.0,1882,5000.0,2789
EVT0087,concert,Pune,500,0,2024-10-23,Wednesday,0,0,14,3.0,1138.0,18,1,2,58,3,21.1,0,1.9,274,5000.0,485
EVT0088,sports,Indore,200,1,2024-07-06,Saturday,1,0,13,3.0,964.0,26,3,2,57,1,25.4,1,7.3,96,0.0,9
EVT0089,sports,Bengaluru,200,0,2025-11-05,Wednesday,0,0,14,2.0,255.0,3,3,3,26,1,18.6,0,0.0,101,10000.0,200
EVT0090,festival,Bengaluru,500,0,2024-05-10,Friday,0,0,18,3.0,175.0,9,0,2,23,0,30.6,0,0.0,215,0.0,429
EVT0091,concert,Mumbai,2000,0,2025-01-24,Friday,0,0,19,3.0,924.0,13,3,1,82,1,25.5,0,1.4,1094,0.0,2000
EVT0092,seminar,Pune,2000,0,2024-03-22,Friday,0,0,10,2.0,281.0,12,3,2,80,0,17.9,0,2.2,918,5000.0,1681
EVT0093,seminar,Mumbai,200,1,2025-10-11,Saturday,1,0,18,3.0,203.0,7,4,5,18,4,19.4,0,0.0,45,0.0,200
EVT0094,Stand-up,Hyderabad,500,1,2024-09-07,Saturday,1,0,18,2.0,118.0,0,2,3,75,3,29.8,0,2.2,147,20000.0,500
EVT0095,sports,Delhi,500,0,2024-03-06,Wednesday,0,0,18,3.0,522.0,20,0,5,77,3,26.0,0,0.0,195,2000.0,500
EVT0096,concert,Delhi,1200,1,2024-03-06,Wednesday,0,0,11,3.0,548.0,7,3,2,81,3,22.3,0,9.2,160,2000.0,1200
EVT0097,seminar,Delhi,2000,1,2024-10-18,Friday,0,0,16,3.0,91.0,6,2,1,77,0,20.7,0,0.4,884,10000.0,2000
EVT0098,sports,Hyderabad,1200,0,2024-01-24,Wednesday,0,0,11,2.0,603.0,3,4,2,68,2,27.7,0,0.0,388,5000.0,1200
EVT0099,sports,Bengaluru,3000,0,2025-04-15,Tuesday,0,0,9,4.0,578.0,29,1,2,65,0,30.8,1,6.7,1200,5000.0,2391
EVT0100,sports,Mumbai,1200,1,2024-08-27,Tuesday,0,0,11,3.0,375.0,19,4,5,32,1,21.9,0,4.2,364,0.0,1200
EVT0101,festival,Pune,1200,1,2024-11-11,Monday,0,0,16,3.0,212.0,22,3,5,25,1,21.1,0,0.0,516,2000.0,1200
EVT0102,sports,Delhi,500,0,2025-05-21,Wednesday,0,0,9,2.0,662.0,26,4,5,58,0,26.5,0,0.9,156,2000.0,500
EVT0103,seminar,Bengaluru,3000,1,2024-02-03,Saturday,1,0,10,1.5,189.0,24,3,3,9,2,23.6,0,0.0,551,10000.0,2873
EVT0104,Stand-up,Bengaluru,200,1,2024-01-05,Friday,0,0,18,3.0,138.0,9,4,4,24,3,24.3,0,3.2,56,10000.0,200
EVT0105,Stand-up,Hyderabad,800,1,2025-03-08,Saturday,1,0,11,1.5,136.0,20,3,4,57,1,20.8,0,0.0,421,5000.0,800
EVT0106,sports,Pune,500,0,2024-11-23,Saturday,1,0,16,3.0,681.0,27,4,3,46,3,28.8,1,6.3,17,5000.0,500
EVT0107,concert,Mumbai,300,1,2024-12-26,Thursday,0,0,10,1.5,434.0,12,1,4,11,3,20.7,0,0.0,100,10000.0,300
EVT0108,Stand-up,Indore,2000,1,2025-04-12,Saturday,1,0,21,3.0,242.0,25,1,5,46,2,26.0,0,0.0,999,2000.0,2000
EVT0109,concert,Indore,500,1,2025-09-24,Wednesday,0,0,17,2.0,1396.0,13,1,5,75,4,28.0,1,2.6,231,20000.0,500
EVT0110,concert,Mumbai,300,1,2025-05-12,Monday,0,0,15,1.5,1234.0,25,4,3,14,2,22.5,1,8.0,91,2000.0,204
EVT0111,Stand-up,Pune,1200,1,2024-01-02,Tuesday,0,0,10,3.0,500.0,13,3,3,16,1,24.2,1,5.4,602,0.0,971
EVT0112,seminar,Hyderabad,3000,1,2024-10-18,Friday,0,0,20,2.0,14.0,14,3,2,45,4,29.7,0,0.8,296,2000.0,2050
EVT0113,concert,Mumbai,500,1,2025-07-22,Tuesday,0,0,17,2.0,854.0,1,4,2,55,0,25.2,0,0.0,280,5000.0,500
EVT0114,seminar,Bengaluru,3000,1,2025-07-26,Saturday,1,1,11,4.0,184.0,16,3,1,81,0,14.8,1,9.1,1057,10000.0,2640
EVT0115,seminar,Pune,300,1,2025-03-23,Sunday,1,0,21,3.0,139.0,11,4,1,87,0,21.5,0,0.0,192,2000.0,300
EVT0116,festival,Pune,800,1,2024-08-17,Saturday,1,0,17,1.5,28.0,2,3,4,88,2,34.0,0,1.2,106,2000.0,800
EVT0117,concert,Bengaluru,200,0,2025-01-13,Monday,0,0,13,2.0,451.0,4,1,1,80,1,24.0,1,4.7,103,5000.0,200
EVT0118,Stand-up,Indore,200,1,2024-09-17,Tuesday,0,0,14,2.0,288.0,13,1,2,4,1,24.0,0,0.0,85,10000.0,200
EVT0119,Stand-up,Pune,800,1,2024-02-22,Thursday,0,0,12,2.0,590.0,23,2,4,69,3,22.2,0,1.8,350,20000.0,800
EVT0120,festival,Bengaluru,500,1,2024-01-13,Saturday,1,0,10,2.0,106.0,3,1,1,88,0,22.9,1,7.7,235,20000.0,500
EVT0121,festival,Hyderabad,300,0,2024-11-14,Thursday,0,0,14,2.0,120.0,15,4,5,77,1,21.4,0,2.7,99,0.0,300
EVT0122,sports,Indore,500,0,2024-07-10,Wednesday,0,0,17,3.0,473.0,17,1,2,34,0,30.1,1,9.5,414,20000.0,500
EVT0123,festival,Hyderabad,3000,0,2025-03-17,Monday,0,0,15,1.5,245.0,15,4,3,32,0,24.9,0,0.0,1046,0.0,2242
EVT0124,seminar,Indore,500,1,2024-10-01,Tuesday,0,0,14,2.0,60.0,9,1,1,36,1,24.6,0,2.8,192,0.0,164
EVT0125,Stand-up,Delhi,500,0,2025-01-21,Tuesday,0,0,10,3.0,596.0,9,0,5,69,3,24.0,1,3.9,257,0.0,362
EVT0126,sports,Pune,500,1,2025-07-24,Thursday,0,0,20,2.0,903.0,7,4,2,6,2,27.4,0,2.8,241,2000.0,88
EVT0127,Stand-up,Indore,800,1,2024-05-14,Tuesday,0,0,16,3.0,583.0,7,3,5,38,4,23.8,1,6.7,421,10000.0,800
EVT0128,concert,Bengaluru,1200,0,2024-02-26,Monday,0,0,12,2.0,683.0,24,0,1,8,0,26.9,1,2.8,520,5000.0,1065
EVT0129,Stand-up,Delhi,200,1,2025-05-20,Tuesday,0,0,18,2.0,143.0,26,1,3,89,1,38.3,0,0.0,61,20000.0,200
EVT0130,concert,Pune,1200,1,2024-04-06,Saturday,1,0,16,1.5,502.0,19,0,2,8,0,22.0,0,0.6,458,5000.0,1200
EVT0131,Stand-up,Hyderabad,300,1,2025-06-09,Monday,0,1,17,1.5,272.0,7,1,4,36,3,25.8,0,0.8,147,2000.0,300
EVT0132,concert,Delhi,800,0,2025-11-22,Saturday,1,1,16,2.0,1226.0,2,2,3,88,0,22.6,0,0.0,331,0.0,800
EVT0133,sports,Mumbai,300,0,2025-07-24,Thursday,0,1,11,3.0,762.0,12,0,1,77,2,23.3,1,5.9,115,2000.0,0
EVT0134,Stand-up,Bengaluru,300,1,2025-02-20,Thursday,0,0,18,3.0,573.0,1,4,1,6,3,23.7,0,0.0,166,10000.0,300
EVT0135,concert,Mumbai,150,0,2024-04-17,Wednesday,0,0,14,1.5,1239.0,10,0,2,36,3,18.6,0,1.7,35,0.0,0
EVT0136,seminar,Bengaluru,800,1,2024-05-27,Monday,0,0,14,2.0,128.0,11,1,5,46,0,28.5,0,7.3,436,0.0,800
EVT0137,seminar,Pune,150,1,2024-07-20,Saturday,1,0,21,3.0,255.0,2,1,1,78,0,15.9,0,1.6,48,0.0,123
EVT0138,concert,Hyderabad,500,1,2025-05-05,Monday,0,0,10,3.0,802.0,20,3,2,80,4,25.9,0,4.3,285,2000.0,460
EVT0139,Stand-up,Delhi,800,1,2024-10-24,Thursday,0,0,21,2.0,480.0,4,2,1,76,2,35.1,1,9.1,421,0.0,479
EVT0140,sports,Hyderabad,300,0,2024-07-01,Monday,0,0,14,1.5,801.0,16,3,3,19,1,27.8,0,0.0,126,10000.0,300
EVT0141,Stand-up,Mumbai,500,1,2025-07-19,Saturday,1,0,20,1.5,565.0,7,4,3,45,1,22.6,1,5.7,319,0.0,500
EVT0142,sports,Delhi,1200,0,2024-01-19,Friday,0,0,20,2.0,669.0,9,4,4,65,2,25.7,0,0.4,127,20000.0,1200
EVT0143,seminar,Pune,500,1,2025-05-13,Tuesday,0,0,20,2.0,236.0,19,3,4,53,1,23.5,1,6.9,173,5000.0,500
EVT0144,sports,Bengaluru,1200,0,2024-05-16,Thursday,0,0,13,2.0,778.0,10,3,3,54,1,25.9,0,0.0,498,10000.0,1200
EVT0145,Stand-up,Hyderabad,300,1,2025-05-14,Wednesday,0,0,9,2.0,403.0,23,4,5,73,4,23.1,0,3.5,114,0.0,300
EVT0146,concert,Hyderabad,150,0,2025-08-06,Wednesday,0,0,17,4.0,1433.0,24,3,2,62,2,22.7,0,0.8,82,0.0,0
EVT0147,seminar,Bengaluru,300,1,2024-09-07,Saturday,1,0,20,2.0,187.0,4,1,3,50,1,23.2,1,7.0,146,2000.0,300
EVT0148,concert,Mumbai,3000,1,2025-08-18,Monday,0,0,20,3.0,957.0,11,1,1,53,0,29.4,1,6.0,1566,5000.0,3000
EVT0149,Stand-up,Hyderabad,3000,1,2024-07-15,Monday,0,0,13,3.0,114.0,0,1,2,27,4,31.9,0,5.1,1361,5000.0,2750
EVT0150,Stand-up,Indore,150,0,2024-09-03,Tuesday,0,0,17,3.0,447.0,24,1,3,51,2,32.1,1,7.6,55,5000.0,150
EVT0151,seminar,Pune,200,1,2024-05-01,Wednesday,0,0,11,2.0,37.0,23,3,5,42,4,23.5,0,0.0,98,5000.0,200
EVT0152,festival,Indore,150,0,2024-11-19,Tuesday,0,0,10,3.0,354.0,6,3,4,15,4,21.3,0,1.7,51,2000.0,150
EVT0153,seminar,Indore,3000,0,2025-07-23,Wednesday,0,0,13,4.0,102.0,17,0,3,22,4,28.9,1,7.9,1863,5000.0,2862
EVT0154,concert,Pune,1200,1,2025-03-12,Wednesday,0,0,13,3.0,719.0,22,4,3,20,4,25.3,0,1.4,592,10000.0,1200
EVT0155,festival,Bengaluru,2000,0,2024-03-22,Friday,0,0,11,2.0,158.0,3,3,2,37,2,25.8,0,0.0,502,10000.0,2000
EVT0156,seminar,Pune,500,1,2025-05-13,Tuesday,0,0,15,2.0,223.0,15,0,3,44,1,24.3,0,5.1,215,10000.0,500
EVT0157,Stand-up,Pune,500,1,2025-05-07,Wednesday,0,0,11,2.0,182.0,26,1,5,85,0,31.8,1,5.4,249,10000.0,500
EVT0158,concert,Delhi,2000,0,2024-09-22,Sunday,1,0,13,1.5,674.0,19,4,5,23,2,25.7,0,0.0,793,2000.0,2000
EVT0159,seminar,Indore,500,1,2025-07-14,Monday,0,0,14,3.0,267.0,23,1,1,17,4,26.9,1,8.1,307,2000.0,244
EVT0160,concert,Pune,150,0,2024-01-15,Monday,0,0,12,1.5,626.0,22,4,2,76,1,23.6,0,0.0,88,10000.0,150
EVT0161,festival,Delhi,800,0,2024-07-24,Wednesday,0,0,15,2.0,126.0,19,3,5,61,2,30.3,0,1.1,298,0.0,800
EVT0162,festival,Bengaluru,1200,1,2024-04-22,Monday,0,0,16,3.0,47.0,15,0,2,33,2,21.7,0,4.4,167,0.0,866
EVT0163,sports,Pune,150,0,2025-07-26,Saturday,1,0,14,4.0,482.0,25,0,3,67,4,23.2,0,7.9,91,5000.0,150
EVT0164,concert,Mumbai,200,0,2024-04-07,Sunday,1,0,20,1.5,430.0,26,1,4,17,1,19.5,0,3.7,44,0.0,200
EVT0165,Stand-up,Pune,1200,0,2025-08-02,Saturday,1,0,9,2.0,325.0,24,2,4,43,4,29.1,0,2.2,436,2000.0,1200
EVT0166,Stand-up,Mumbai,500,1,2024-08-02,Friday,0,0,18,2.0,483.0,17,4,2,24,1,26.0,1,4.3,166,0.0,490
EVT0167,sports,Bengaluru,500,0,2025-06-18,Wednesday,0,0,21,2.0,298.0,9,2,1,39,1,31.5,0,0.0,208,2000.0,407
EVT0168,concert,Delhi,300,1,2024-06-07,Friday,0,0,10,2.0,1004.0,0,0,1,37,2,31.0,0,0.0,133,0.0,0
EVT0169,seminar,Pune,800,1,2024-03-04,Monday,0,0,16,1.5,126.0,29,2,2,88,1,24.6,0,1.2,463,5000.0,800
EVT0170,concert,Bengaluru,1200,0,2025-08-02,Saturday,1,0,20,2.0,668.0,20,0,3,15,0,31.5,1,3.5,763,0.0,1131
EVT0171,seminar,Delhi,800,1,2025-08-02,Saturday,1,0,15,3.0,264.0,17,2,2,34,2,28.3,1,4.0,191,5000.0,800
EVT0172,seminar,Delhi,300,1,2025-11-07,Friday,0,0,18,2.0,46.0,23,0,5,39,2,25.0,1,4.8,105,10000.0,300
EVT0173,seminar,Mumbai,3000,1,2024-04-07,Sunday,1,0,20,2.0,85.0,7,4,3,11,0,20.4,0,0.0,1015,2000.0,2752
EVT0174,festival,Hyderabad,1200,0,2025-05-23,Friday,0,0,16,3.0,26.0,8,3,1,79,4,22.9,1,3.8,520,5000.0,1145
EVT0175,sports,Hyderabad,500,0,2025-02-09,Sunday,1,0,19,2.0,674.0,29,3,1,59,4,13.0,0,4.8,169,10000.0,500
EVT0176,seminar,Bengaluru,1200,0,2024-10-21,Monday,0,0,14,2.0,98.0,21,3,5,63,4,22.8,0,0.0,296,0.0,1200
EVT0177,seminar,Indore,1200,1,2024-11-24,Sunday,1,0,13,2.0,185.0,6,0,5,8,1,22.9,0,0.3,474,10000.0,1200
EVT0178,sports,Indore,800,0,2024-05-21,Tuesday,0,0,17,2.0,825.0,26,2,1,82,1,21.7,0,4.8,345,5000.0,800
EVT0179,Stand-up,Bengaluru,500,0,2025-10-12,Sunday,1,0,9,2.0,107.0,5,0,4,41,3,29.0,0,6.4,83,2000.0,500
EVT0180,Stand-up,Delhi,200,1,2025-02-17,Monday,0,0,12,3.0,326.0,22,2,2,60,4,28.2,0,0.0,43,2000.0,200
EVT0181,seminar,Bengaluru,3000,1,2024-04-11,Thursday,0,0,11,4.0,99.0,22,1,4,20,3,27.4,0,2.0,1262,5000.0,2781
